client,desc,combined,service
Verizon Wireless,LA MTSO BAS Baseline Audit,Verizon Wireless LA MTSO BAS Baseline Audit,Audit
Verizon Wireless,LA MTSO BAS Controller Upgrades,Verizon Wireless LA MTSO BAS Controller Upgrades,Design
Verizon Wireless,Las Vegas 2nd Expansion - CO Services,Verizon Wireless Las Vegas 2nd Expansion - CO Services,Design
Verizon Wireless,Las Vegas 2nd Expansion For MSI Services,Verizon Wireless Las Vegas 2nd Expansion For MSI Services,MSI
Verizon Wireless,Lenexa MSC - 7400 amp hardening design,Verizon Wireless Lenexa MSC - 7400 amp hardening design,Design
Verizon Wireless,Lenexa MSC CxA - 7400 AMP DC Remodel,Verizon Wireless Lenexa MSC CxA - 7400 AMP DC Remodel,Commissioning
Verizon Wireless,"Lenexa, KS Energy Audit","Verizon Wireless Lenexa, KS Energy Audit",Audit
Verizon Wireless,"Lewis Center, OH - Controls Trouble-Shooting","Verizon Wireless Lewis Center, OH - Controls Trouble-Shooting",MSI
Verizon Wireless,Lithia Springs Data Center??,Verizon Wireless Lithia Springs Data Center??,Design / Commissioning
Verizon Wireless,Load Shed Design - Shockoe ,Verizon Wireless Load Shed Design - Shockoe ,Design
Verizon Wireless,"Lodge, MI BAS","Verizon Wireless Lodge, MI BAS",MSI
Verizon Wireless,Louisville MSC Inverter Upgrade,Verizon Wireless Louisville MSC Inverter Upgrade,Design
Verizon Wireless,LSV CRAN A&E Services (Flamingo & Durango),Verizon Wireless LSV CRAN A&E Services (Flamingo & Durango),Design
Verizon Wireless,LSV CRAN A&E services 5 sites,Verizon Wireless LSV CRAN A&E services 5 sites,Design
Verizon Wireless,LSV CRAN A&E services 6 sites,Verizon Wireless LSV CRAN A&E services 6 sites,Design
Verizon Wireless,LV phase 2 design project ,Verizon Wireless LV phase 2 design project ,Design
Verizon Wireless,Macon BAS Audit,Verizon Wireless Macon BAS Audit,MSI
Verizon Wireless,Macon Duluth 169/179 Corrections Implementation,Verizon Wireless Macon Duluth 169/179 Corrections Implementation,Design
Verizon Wireless,Macon MSI,Verizon Wireless Macon MSI,MSI
Verizon Wireless,Macon NDIR386 Design fixes,Verizon Wireless Macon NDIR386 Design fixes,Design
Verizon Wireless,"Matthews Former, NC MTSO CRAN Survey","Verizon Wireless Matthews Former, NC MTSO CRAN Survey",Audit
Verizon Wireless,Medium CRAN Hub Shelter - IN and KY,Verizon Wireless Medium CRAN Hub Shelter - IN and KY,Design
Verizon Wireless,Memphis Awning Design,Verizon Wireless Memphis Awning Design,Design
Verizon Wireless,Memphis BAS Audit,Verizon Wireless Memphis BAS Audit,MSI
Verizon Wireless,Mililani COW/COLT Canopy & S/R Rm Expans,Verizon Wireless Mililani COW/COLT Canopy & S/R Rm Expans,Design
Verizon Wireless,Mililani Fuel Line Replacement and Emergency Water Storage - A&E Services,Verizon Wireless Mililani Fuel Line Replacement and Emergency Water Storage - A&E Services,Design
Verizon Wireless,Mililani Portable Gen. Tap Box A&E - 2 phases,Verizon Wireless Mililani Portable Gen. Tap Box A&E - 2 phases,Design
Verizon Wireless,"MIN CONDOR HUB A&E Design - St. Paul, MN CRAN","Verizon Wireless MIN CONDOR HUB A&E Design - St. Paul, MN CRAN",Design
Verizon Wireless,Mineola MSC Generator Renovation,Verizon Wireless Mineola MSC Generator Renovation,Design
Verizon Wireless,Misc,Verizon Wireless Misc,Design / Commissioning
Verizon Wireless,Moundridge Roof & Parking Lot Upgrades,Verizon Wireless Moundridge Roof & Parking Lot Upgrades,Design
Verizon Wireless,MSC Baseline Audits South,Verizon Wireless MSC Baseline Audits South,Audit
Verizon Wireless,MW CRAN Audits - IN & KY - 50 sites,Verizon Wireless MW CRAN Audits - IN & KY - 50 sites,Audit
Verizon Wireless,N Seattle NDIR386 Upgrades A&E,Verizon Wireless N Seattle NDIR386 Upgrades A&E,Design
Verizon Wireless,Nashville Audit,Verizon Wireless Nashville Audit,Audit
Verizon Wireless,Nashville BAS HVAC Integration,Verizon Wireless Nashville BAS HVAC Integration,MSI
Verizon Wireless,Nashville BAS HVAC Integration,Verizon Wireless Nashville BAS HVAC Integration,MSI
Verizon Wireless,Nashville Remediation & Expansion,Verizon Wireless Nashville Remediation & Expansion,Design
Verizon Wireless,NDIR386 Audits - Carolinas,Verizon Wireless NDIR386 Audits - Carolinas,Audit
Verizon Wireless,Net INKY-EV-HVAC-RTU #1 Upgrade - EVANSVILLE,Verizon Wireless Net INKY-EV-HVAC-RTU #1 Upgrade - EVANSVILLE,Design
Verizon Wireless,New Berlin MSI,Verizon Wireless New Berlin MSI,MSI
Verizon Wireless,NGB (N Greenbush) MTSO NDIR386 ,Verizon Wireless NGB (N Greenbush) MTSO NDIR386 ,Design
Verizon Wireless,North Greenbush SAP Upgrade Design,Verizon Wireless North Greenbush SAP Upgrade Design,Design
Verizon Wireless,North Seattle MSI ,Verizon Wireless North Seattle MSI ,MSI
Verizon Wireless,North Seattle MSI Design Review,Verizon Wireless North Seattle MSI Design Review,MSI
Verizon Wireless,NSE Bid Inverter Upgrade,Verizon Wireless NSE Bid Inverter Upgrade,Design
Verizon Wireless,NSE Suppression System Upgrade,Verizon Wireless NSE Suppression System Upgrade,Design
Verizon Wireless,NSTD 3000 Audits - 8 CRAN Sites (Montana),Verizon Wireless NSTD 3000 Audits - 8 CRAN Sites (Montana),Audit
Verizon Wireless,NY Energy Audits - Supply Chain - Local Laws,Verizon Wireless NY Energy Audits - Supply Chain - Local Laws,Audit
Verizon Wireless,NYC BAS Audits,Verizon Wireless NYC BAS Audits,MSI
Verizon Wireless,OH Boardman Roof Railing CRAN,Verizon Wireless OH Boardman Roof Railing CRAN,Design
Verizon Wireless,OH CRAN - Cincy - Generator Design,Verizon Wireless OH CRAN - Cincy - Generator Design,Design
Verizon Wireless,OH Medium CRAN HUB Audit Design 1,Verizon Wireless OH Medium CRAN HUB Audit Design 1,Design
Verizon Wireless,OH Medium CRAN HUB Audit Design 2,Verizon Wireless OH Medium CRAN HUB Audit Design 2,Design
Verizon Wireless,OH Medium CRAN HUB Audit Design 3,Verizon Wireless OH Medium CRAN HUB Audit Design 3,Design
Verizon Wireless,OH Medium CRAN HUB Audit Design 4,Verizon Wireless OH Medium CRAN HUB Audit Design 4,Design
Verizon Wireless,Ohio Med Hub Audit & Design Svcs,Verizon Wireless Ohio Med Hub Audit & Design Svcs,Design
Verizon Wireless,Ohio Medium Hub A&E Audit and Design CRAN,Verizon Wireless Ohio Medium Hub A&E Audit and Design CRAN,Audit
Verizon Wireless,Ohio Medium Hub Utility Walks CRAN,Verizon Wireless Ohio Medium Hub Utility Walks CRAN,Audit
Verizon Wireless,OLY Marvin Road CRAN A&E,Verizon Wireless OLY Marvin Road CRAN A&E,Design
Verizon Wireless,"OMA OMTSO HUB A&E Design - Omaha, NE CRAN","Verizon Wireless OMA OMTSO HUB A&E Design - Omaha, NE CRAN",Design
Verizon Wireless,"Omaha, NE Energy Audit","Verizon Wireless Omaha, NE Energy Audit",Audit
Verizon Wireless,"Ontario, CA MSI","Verizon Wireless Ontario, CA MSI",MSI
Verizon Wireless,Orlando MSI (Rubicon),Verizon Wireless Orlando MSI (Rubicon),MSI
Verizon Wireless,"OWATONNA, MN, GOLDEN VALLEY MSC, AND SIOUX FALLS, SD MSC'S FOR HVAC OPTIMIZATION","Verizon Wireless OWATONNA, MN, GOLDEN VALLEY MSC, AND SIOUX FALLS, SD MSC'S FOR HVAC OPTIMIZATION",Design
Verizon Wireless,Philly Tri State BAS - Harrisburg,Verizon Wireless Philly Tri State BAS - Harrisburg,MSI
Verizon Wireless,Philly Tri State BAS - Philladelphia,Verizon Wireless Philly Tri State BAS - Philladelphia,MSI
Verizon Wireless,Philly Tri State BAS - Pittston,Verizon Wireless Philly Tri State BAS - Pittston,MSI
Verizon Wireless,PHO CRAN A&E - 6 sites,Verizon Wireless PHO CRAN A&E - 6 sites,Design
Verizon Wireless,Phoenix Design - AZ5 - CG Store CRAN,Verizon Wireless Phoenix Design - AZ5 - CG Store CRAN,Design
Verizon Wireless,Phoenix Design - LSV - Gaylord CRAN,Verizon Wireless Phoenix Design - LSV - Gaylord CRAN,Design
Verizon Wireless,Phoenix Design - LSV - Swenson CRAN,Verizon Wireless Phoenix Design - LSV - Swenson CRAN,Design
Verizon Wireless,Phoenix Design - PHO - Adams CRAN,Verizon Wireless Phoenix Design - PHO - Adams CRAN,Design
Verizon Wireless,Phoenix Design - PHO - Bell Road CRAN,Verizon Wireless Phoenix Design - PHO - Bell Road CRAN,Design
Verizon Wireless,Phoenix Design - PHO - Capital CRAN,Verizon Wireless Phoenix Design - PHO - Capital CRAN,Design
Verizon Wireless,Phoenix Design - PHO - Melody Lane CRAN,Verizon Wireless Phoenix Design - PHO - Melody Lane CRAN,Design
Verizon Wireless,Phoenix Design - PHO - Pima Park CRAN,Verizon Wireless Phoenix Design - PHO - Pima Park CRAN,Design
Verizon Wireless,"Plant City, FL BDFBB 403.03 Design","Verizon Wireless Plant City, FL BDFBB 403.03 Design",Design
Verizon Wireless,Pleasanton Generator Room Remediation,Verizon Wireless Pleasanton Generator Room Remediation,Design
Verizon Wireless,Plymouth Meeting Master Plan,Verizon Wireless Plymouth Meeting Master Plan,Design
Verizon Wireless,Plymouth Meeting MSI,Verizon Wireless Plymouth Meeting MSI,MSI
Verizon Wireless,Plymouth Meeting MSI,Verizon Wireless Plymouth Meeting MSI,MSI
Verizon Wireless,Plymouth Meeting structural mods,Verizon Wireless Plymouth Meeting structural mods,Design
Verizon Wireless,Portland People Center Wellness Room A&E Services,Verizon Wireless Portland People Center Wellness Room A&E Services,Design
Verizon Wireless,"Portland, ME Headend Eng Services","Verizon Wireless Portland, ME Headend Eng Services",Design
Verizon Wireless,Power Operations Manual - Shockoe,Verizon Wireless Power Operations Manual - Shockoe,Design
Verizon Wireless,Raising Temperature Directive,Verizon Wireless Raising Temperature Directive,Design
Verizon Wireless,"Raleigh Hammond, NC MTSO CRAN Survey","Verizon Wireless Raleigh Hammond, NC MTSO CRAN Survey",Audit
Verizon Wireless,Redmond Data Performance Room Extension,Verizon Wireless Redmond Data Performance Room Extension,Design
Verizon Wireless,Redmond Energy Audit,Verizon Wireless Redmond Energy Audit,Audit
Verizon Wireless,"Redmond FSD Power Diversification (Electrical, controls, Cx)","Verizon Wireless Redmond FSD Power Diversification (Electrical, controls, Cx)",Design
Verizon Wireless,Redmond MovinCool Outlets and Emergency Invitation,Verizon Wireless Redmond MovinCool Outlets and Emergency Invitation,Design
Verizon Wireless,Redmond MSI Design Review,Verizon Wireless Redmond MSI Design Review,MSI
Verizon Wireless,Redmond Perimeter Fence Design ,Verizon Wireless Redmond Perimeter Fence Design ,Design
Verizon Wireless,Redmond Ridge DC Plant #2 Distro Bay Expansion,Verizon Wireless Redmond Ridge DC Plant #2 Distro Bay Expansion,Design
Verizon Wireless,Redmond Ridge MSC,Verizon Wireless Redmond Ridge MSC,Design
Verizon Wireless,Redmond Ridge MSI,Verizon Wireless Redmond Ridge MSI,MSI
Verizon Wireless,Redmond Suppression System Upgrade,Verizon Wireless Redmond Suppression System Upgrade,Design
Verizon Wireless,Reliability Risk Assessment Study,Verizon Wireless Reliability Risk Assessment Study,Audit
Verizon Wireless,Retro Cx and In Service Cx - COSP,Verizon Wireless Retro Cx and In Service Cx - COSP,Commissioning
Verizon Wireless,Retro-Cx N. Seattle MSC BAS & Fire Alarm ,Verizon Wireless Retro-Cx N. Seattle MSC BAS & Fire Alarm ,Commissioning
Verizon Wireless,Retro-Cx North Seattle  RFP Development,Verizon Wireless Retro-Cx North Seattle  RFP Development,Commissioning
Verizon Wireless,Roanoke Master Plan,Verizon Wireless Roanoke Master Plan,Design
Verizon Wireless,Roanoke MSI,Verizon Wireless Roanoke MSI,MSI
Verizon Wireless,Roanoke MSI,Verizon Wireless Roanoke MSI,MSI
Verizon Wireless,Rochester Master Plan,Verizon Wireless Rochester Master Plan,Design
Verizon Wireless,Rockford BAS MSI Design,Verizon Wireless Rockford BAS MSI Design,MSI
Verizon Wireless,"Rockford, IL Audit","Verizon Wireless Rockford, IL Audit",Audit
Verizon Wireless,Rocklin 1 Main Cx - REBID - BAFO,Verizon Wireless Rocklin 1 Main Cx - REBID - BAFO,Commissioning
Verizon Wireless,Santa Ana MTSO BAS Baseline Audit,Verizon Wireless Santa Ana MTSO BAS Baseline Audit,Audit
Verizon Wireless,SAP - Site baselining RFP,Verizon Wireless SAP - Site baselining RFP,Design
Verizon Wireless,Schertz MSC Telco Room HVAC Augment,Verizon Wireless Schertz MSC Telco Room HVAC Augment,Design
Verizon Wireless,Schertz Telco HVAC MSI,Verizon Wireless Schertz Telco HVAC MSI,MSI
Verizon Wireless,SDN Floorplan Guidance - Training,Verizon Wireless SDN Floorplan Guidance - Training,Design
Verizon Wireless,SDN Floorplan Guidance Review,Verizon Wireless SDN Floorplan Guidance Review,Design
Verizon Wireless,SEA Bellevue Hilton CRAN A&E,Verizon Wireless SEA Bellevue Hilton CRAN A&E,Design
Verizon Wireless,SEA Capitol Hill CRAN A&E,Verizon Wireless SEA Capitol Hill CRAN A&E,Design
Verizon Wireless,SEA Interbay CRAN A&E,Verizon Wireless SEA Interbay CRAN A&E,Design
Verizon Wireless,SEA Northgate CRAN A&E,Verizon Wireless SEA Northgate CRAN A&E,Design
Verizon Wireless,SEA Oak Tree CRAN A&E,Verizon Wireless SEA Oak Tree CRAN A&E,Design
Verizon Wireless,SEA Rainier CRAN A&E,Verizon Wireless SEA Rainier CRAN A&E,Design
Verizon Wireless,SEA STAR LAKE CRAN A&E,Verizon Wireless SEA STAR LAKE CRAN A&E,Design
Verizon Wireless,SFO Energy Audit - Supply Chain,Verizon Wireless SFO Energy Audit - Supply Chain,Audit
Verizon Wireless,Shockoe - Plan B,Verizon Wireless Shockoe - Plan B,Design
Verizon Wireless,Shockoe CO - DC Design,Verizon Wireless Shockoe CO - DC Design,Design
Verizon Wireless,Shockoe CO - Expanded Civil Scope,Verizon Wireless Shockoe CO - Expanded Civil Scope,Design
Verizon Wireless,Shockoe CO Alternate Electrical Conduit Design,Verizon Wireless Shockoe CO Alternate Electrical Conduit Design,Design
Verizon Wireless,Shockoe CO Geotech CA Services,Verizon Wireless Shockoe CO Geotech CA Services,Design
Verizon Wireless,Shockoe Master Plan,Verizon Wireless Shockoe Master Plan,Design
Verizon Wireless,Shockoe MSI,Verizon Wireless Shockoe MSI,MSI
Verizon Wireless,Shockoe MSI,Verizon Wireless Shockoe MSI,MSI
Verizon Wireless,Shockoe Visiting Director's Office,Verizon Wireless Shockoe Visiting Director's Office,Design
Verizon Wireless,Site Development & Architecture & Engineering Svc - Carolina & TN,Verizon Wireless Site Development & Architecture & Engineering Svc - Carolina & TN,Design
Verizon Wireless,SLD - Updating RFP,Verizon Wireless SLD - Updating RFP,Design
Verizon Wireless,South Area Records,Verizon Wireless South Area Records,Design
Verizon Wireless,South Central CRAN A&E 2018 CRAN,Verizon Wireless South Central CRAN A&E 2018 CRAN,Design
Verizon Wireless,South Jordan UT – CRAN Turnkey Services,Verizon Wireless South Jordan UT – CRAN Turnkey Services,Design
Verizon Wireless,South Lake Union CRAN Hub A&E Design,Verizon Wireless South Lake Union CRAN Hub A&E Design,Design
Verizon Wireless,South Territory Wellness Rooms,Verizon Wireless South Territory Wellness Rooms,Design
Verizon Wireless,Southern AZ CRAN EOS Drawings,Verizon Wireless Southern AZ CRAN EOS Drawings,Design
Verizon Wireless,Southlake CRAC Replacement Design,Verizon Wireless Southlake CRAC Replacement Design,Design
Verizon Wireless,Southlake Load Study,Verizon Wireless Southlake Load Study,Design
Verizon Wireless,Southlake Telco Pop Expansion - Design,Verizon Wireless Southlake Telco Pop Expansion - Design,Design
Verizon Wireless,"Southlake, TX Chiller Design","Verizon Wireless Southlake, TX Chiller Design",Design
Verizon Wireless,Southwest Markets A&E,Verizon Wireless Southwest Markets A&E,Design
Verizon Wireless,SOVA Large Hub Audits Audit ,Verizon Wireless SOVA Large Hub Audits Audit ,Audit
Verizon Wireless,Springfield BAS & MSI Design,Verizon Wireless Springfield BAS & MSI Design,MSI
Verizon Wireless,"St. Clairsville, OH MSC - Mobile Asset Parking","Verizon Wireless St. Clairsville, OH MSC - Mobile Asset Parking",Design
Verizon Wireless,St. Louis 1 MSC HVAC System Review,Verizon Wireless St. Louis 1 MSC HVAC System Review,Design
Verizon Wireless,St. Louis 2 MSC Driveway & Parking Lot Upgrade - Design,Verizon Wireless St. Louis 2 MSC Driveway & Parking Lot Upgrade - Design,Design
Verizon Wireless,"St. Louis, MO - Design","Verizon Wireless St. Louis, MO - Design",Design
Verizon Wireless,Syracuse SAP Upgrade Design,Verizon Wireless Syracuse SAP Upgrade Design,Design
Verizon Wireless,Tacoma ATS / Integration & BAS GUI Overlay,Verizon Wireless Tacoma ATS / Integration & BAS GUI Overlay,MSI
Verizon Wireless,Tacoma Fire Suppression Upgrade,Verizon Wireless Tacoma Fire Suppression Upgrade,Design
Verizon Wireless,Tacoma Gate Card Reader ,Verizon Wireless Tacoma Gate Card Reader ,Design
Verizon Wireless,Taunton AC Upgrade,Verizon Wireless Taunton AC Upgrade,Design
Verizon Wireless,Tempe BAS Upgrade - MSI,Verizon Wireless Tempe BAS Upgrade - MSI,MSI
Verizon Wireless,Tempe HVAC Augmentation - MSI,Verizon Wireless Tempe HVAC Augmentation - MSI,MSI
Verizon Wireless,Tempe Utility Feasibility Study,Verizon Wireless Tempe Utility Feasibility Study,Design
Verizon Wireless,Thermal Mapping Solution - 2019,Verizon Wireless Thermal Mapping Solution - 2019,MSI
Verizon Wireless,Tucson Audit,Verizon Wireless Tucson Audit,Audit
Verizon Wireless,Tulsa BAS Baseline,Verizon Wireless Tulsa BAS Baseline,MSI
Verizon Wireless,Tulsa BAS Baseline Audit,Verizon Wireless Tulsa BAS Baseline Audit,MSI
Verizon Wireless,Tulsa HVAC Design Services,Verizon Wireless Tulsa HVAC Design Services,Design
Verizon Wireless,"Tulsa, OK - NDIR 386 Audit Design","Verizon Wireless Tulsa, OK - NDIR 386 Audit Design",Design
Verizon Wireless,Tustin BMS Genset Fuel Mgmt,Verizon Wireless Tustin BMS Genset Fuel Mgmt,Design
Verizon Wireless,UPS Standards Development - HQ,Verizon Wireless UPS Standards Development - HQ,Design
Verizon Wireless,Verizon CFD Research - EOS Project,Verizon Wireless Verizon CFD Research - EOS Project,Specialty Services
Verizon Wireless,Verizon Standard Template Update,Verizon Wireless Verizon Standard Template Update,Design
Verizon Wireless,Victorian Village CRAN,Verizon Wireless Victorian Village CRAN,Design
Verizon Wireless,Vista MSC Chiller #4,Verizon Wireless Vista MSC Chiller #4,Design
Verizon Wireless,"Vista, CA MSI","Verizon Wireless Vista, CA MSI",MSI
Verizon Wireless,VZW Temperature Increase / Energy Study Wayne,Verizon Wireless VZW Temperature Increase / Energy Study Wayne,Design
Verizon Wireless,Wabash Chicago Medium Hub A&E service CRAN,Verizon Wireless Wabash Chicago Medium Hub A&E service CRAN,Design
Verizon Wireless,"Wall, NJ Audit","Verizon Wireless Wall, NJ Audit",Audit
Verizon Wireless,Wallingford BAS,Verizon Wireless Wallingford BAS,MSI
Verizon Wireless,Wallingford Battery Room Roof Design,Verizon Wireless Wallingford Battery Room Roof Design,Design
Verizon Wireless,Wallingford CT MSC CRAC Upgrade,Verizon Wireless Wallingford CT MSC CRAC Upgrade,Design
Verizon Wireless,"Warren, NJ - Diesel Fuel Storage Procedures","Verizon Wireless Warren, NJ - Diesel Fuel Storage Procedures",Design
Verizon Wireless,West Jordan BAS Design,Verizon Wireless West Jordan BAS Design,MSI
Verizon Wireless,West Jordan BAS System Upgrade ,Verizon Wireless West Jordan BAS System Upgrade ,MSI
Verizon Wireless,West Jordan CO Geotech CA & Special Inspection Services,Verizon Wireless West Jordan CO Geotech CA & Special Inspection Services,Design
Verizon Wireless,West Jordan COW / COLT,Verizon Wireless West Jordan COW / COLT,Design
Verizon Wireless,West Jordan DC Power Plant Upgrade,Verizon Wireless West Jordan DC Power Plant Upgrade,Design
Verizon Wireless,West Jordan MSC 7400A CxA,Verizon Wireless West Jordan MSC 7400A CxA,Commissioning
Verizon Wireless,West Jordan MSC AC Work,Verizon Wireless West Jordan MSC AC Work,Design
Verizon Wireless,West Jordan MSC HORSE Design/Install/Com,Verizon Wireless West Jordan MSC HORSE Design/Install/Com,Design
Verizon Wireless,West Jordan MSC MSI for 7400A Upgrade,Verizon Wireless West Jordan MSC MSI for 7400A Upgrade,MSI
Verizon Wireless,West Jordan MSC PH.2 Expansion A/E,Verizon Wireless West Jordan MSC PH.2 Expansion A/E,Design
Verizon Wireless,West Jordan MSI ,Verizon Wireless West Jordan MSI ,MSI
Verizon Wireless,West Jordan MSI 7400A - COR01 GOAT Monitoring,Verizon Wireless West Jordan MSI 7400A - COR01 GOAT Monitoring,MSI
Verizon Wireless,West Jordan MSI Invitation,Verizon Wireless West Jordan MSI Invitation,MSI
Verizon Wireless,West Jordan SWRM 2 Design,Verizon Wireless West Jordan SWRM 2 Design,Design
Verizon Wireless,"West Jordan, UT - MSC Expansion Concept Creation ","Verizon Wireless West Jordan, UT - MSC Expansion Concept Creation ",Design
Verizon Wireless,West Phoenix CRAN  A/E Services 10-18 SITES,Verizon Wireless West Phoenix CRAN  A/E Services 10-18 SITES,Design
Verizon Wireless,West Phoenix CRAN  A/E Services 9 SITES,Verizon Wireless West Phoenix CRAN  A/E Services 9 SITES,Design
Verizon Wireless,West Phoenix CRAN Design Hub,Verizon Wireless West Phoenix CRAN Design Hub,Design
Verizon Wireless,West Roxbury - ATS Conversion & Misc elec,Verizon Wireless West Roxbury - ATS Conversion & Misc elec,Design
Verizon Wireless,West Roxbury Drainage Investigation ,Verizon Wireless West Roxbury Drainage Investigation ,Specialty Services
Verizon Wireless,West Roxbury Exterior Generator Design ,Verizon Wireless West Roxbury Exterior Generator Design ,Design
Verizon Wireless,West Roxbury HVAC Optimization Cx,Verizon Wireless West Roxbury HVAC Optimization Cx,Commissioning
Verizon Wireless,West Roxbury Mechanical Design Replace,Verizon Wireless West Roxbury Mechanical Design Replace,Design
Verizon Wireless,West Roxbury Power Operations Plan - CO,Verizon Wireless West Roxbury Power Operations Plan - CO,"Other (Owner's Rep, Ops Support, etc.)"
Verizon Wireless,West Roxbury Switchgear Design ,Verizon Wireless West Roxbury Switchgear Design ,Design
Verizon Wireless,Westborough BAS GUI,Verizon Wireless Westborough BAS GUI,MSI
Verizon Wireless,Westborough III - Commissioning Services,Verizon Wireless Westborough III - Commissioning Services,Commissioning
Verizon Wireless,Westborough Master Plan,Verizon Wireless Westborough Master Plan,Design
Verizon Wireless,Westborough MSI,Verizon Wireless Westborough MSI,MSI
Verizon Wireless,Westborough MTSO - Expansion and Modification Existing BAS,Verizon Wireless Westborough MTSO - Expansion and Modification Existing BAS,MSI
Verizon Wireless,Westminster CO MSC NDIR386,Verizon Wireless Westminster CO MSC NDIR386,Design
Verizon Wireless,Westside CO for CA Phase,Verizon Wireless Westside CO for CA Phase,Design
Verizon Wireless,Westside MSC Inverter Upgrade,Verizon Wireless Westside MSC Inverter Upgrade,Design
Verizon Wireless,Whitestone MSC,Verizon Wireless Whitestone MSC,Design
Verizon Wireless,Wilmington Master Plan,Verizon Wireless Wilmington Master Plan,Design
Verizon Wireless,Wilmington MSI,Verizon Wireless Wilmington MSI,MSI
Verizon Wireless,Wilmington MSI,Verizon Wireless Wilmington MSI,MSI
Verizon Wireless,Windsor Audit,Verizon Wireless Windsor Audit,Audit
Verizon Wireless,Windsor BAS Audit,Verizon Wireless Windsor BAS Audit,MSI
Verizon Wireless,Windsor Bridge SAP Redesign - COs,Verizon Wireless Windsor Bridge SAP Redesign - COs,Design
Verizon Wireless,Windsor Chiller Replacement Design,Verizon Wireless Windsor Chiller Replacement Design,Design
Verizon Wireless,Windsor CO - BAS Gut and Replace,Verizon Wireless Windsor CO - BAS Gut and Replace,MSI
Verizon Wireless,Windsor CO - COW/COLT Parking Design,Verizon Wireless Windsor CO - COW/COLT Parking Design,Design
Verizon Wireless,Windsor CO - Land Survey,Verizon Wireless Windsor CO - Land Survey,Design
Verizon Wireless,Windsor FP Audit,Verizon Wireless Windsor FP Audit,Audit
Verizon Wireless,Windsor Master Plan,Verizon Wireless Windsor Master Plan,Design
Verizon Wireless,Windsor MSI,Verizon Wireless Windsor MSI,MSI
Verizon Wireless,Windsor Plan C Design,Verizon Wireless Windsor Plan C Design,Design
Verizon Wireless,Windsor SAP Redesign - DC,Verizon Wireless Windsor SAP Redesign - DC,Design
Verizon Wireless,Windsor Structural - C-Clamp and Snow Drift,Verizon Wireless Windsor Structural - C-Clamp and Snow Drift,Design
Verizon Wireless,Wisconsin CRAN New Build A&E Services,Verizon Wireless Wisconsin CRAN New Build A&E Services,Design
Verizon Wireless,Wisconsin New Build A&E Service Batch 3 CRAN,Verizon Wireless Wisconsin New Build A&E Service Batch 3 CRAN,Design
Verizon Wireless,Woodlawn HVAC Replacements,Verizon Wireless Woodlawn HVAC Replacements,Design
Verizon Wireless,Woodlawn MSI,Verizon Wireless Woodlawn MSI,MSI
Verizon Wireless,Yonkers SAP Upgrade Concept Design,Verizon Wireless Yonkers SAP Upgrade Concept Design,Design
Verizon Wireless,"Town of Breckenridge, CO - CRAN","Verizon Wireless Town of Breckenridge, CO - CRAN",Design / Commissioning
WAC,Alliance P4 Renovations,WAC Alliance P4 Renovations,Design
Wakefield Beasley and Associates,CTC - Building 100 / 200 Office Fit Out,Wakefield Beasley and Associates CTC - Building 100 / 200 Office Fit Out,Design
Township of Wayne,SCADA,Township of Wayne SCADA,Commissioning
Township of Wayne,Remote Site Infrastructure Integration,Township of Wayne Remote Site Infrastructure Integration,MSI
Township of Wayne,SCADA System Needs Assessment,Township of Wayne SCADA System Needs Assessment,Specialty Services
Wellstar - Jim Lade,TBD,Wellstar - Jim Lade TBD,Design
Winstead,Waypoint opp (PCM) ,Winstead Waypoint opp (PCM) ,Commissioning
WIPRO LLC,Atlanta Site Assessment,WIPRO LLC Atlanta Site Assessment,Audit
WIPRO LLC,HVAC rebalance,WIPRO LLC HVAC rebalance,Design
Woodruff Arts Center,Alliance Theater Transformation,Woodruff Arts Center Alliance Theater Transformation,Design
Woodruff Arts Center,MAB Theatre Renovations,Woodruff Arts Center MAB Theatre Renovations,Design
XSite Modular,"Cable Landing Station – Newfoundland, Canada","XSite Modular Cable Landing Station – Newfoundland, Canada",Commissioning
XSite Modular,"Cable Landing Station – Oahu, Hawaii","XSite Modular Cable Landing Station – Oahu, Hawaii",Commissioning
XSite Modular,Cable Landing Station DC - Gov of Granada,XSite Modular Cable Landing Station DC - Gov of Granada,Design
XSite Modular,Modular - Brazeal - Cable Landing Station,XSite Modular Modular - Brazeal - Cable Landing Station,Design
XSite Modular,Peer Review Services,XSite Modular Peer Review Services,Design
XSite Modular,Prototype onetime services for Cx,XSite Modular Prototype onetime services for Cx,Commissioning
zColo,1100 White Street Expansion,zColo 1100 White Street Expansion,Design
zColo,1200 White St. - Commissioning,zColo 1200 White St. - Commissioning,Commissioning
zColo,Atlanta 1100 White Street Site Assessment,zColo Atlanta 1100 White Street Site Assessment,Audit
zColo,Greenfield Data Center Design,zColo Greenfield Data Center Design,Design
zColo,zColo - Miami,zColo zColo - Miami,Design
XSite Modular,PLCN - Multiple Sites - FAT and SAT Cx,XSite Modular PLCN - Multiple Sites - FAT and SAT Cx,Cx
Verizon Wireless,Bridgeville #2 Telco Room HVAC A&E Design,Verizon Wireless Bridgeville #2 Telco Room HVAC A&E Design,Design
"Citigroup, Inc.",Retail MEPFP On Call Engineers,"Citigroup, Inc. Retail MEPFP On Call Engineers",Design
Epsten Group,GT Campus Center Renovations Cx Support,Epsten Group GT Campus Center Renovations Cx Support,Cx
